RATE,GRADE,RANK,NAME,COLLEGE,AGE,HT,WT,GMS,PYD,TD,INT,CMP%,Y/A,RUSH,2022,PYD,TD,INT,CMP%,2021,PYD,TD,INT,CMP%,ACCOLADES,40YD,10YD,VERT,BRD,CONE,20SH,HAND,ARM,CMB,FORMER,BOWL,LEVEL,SOURCE,NOTE
,,100,Steven Krajewski,Wagner,6th,"6'3""",201,11,1639,14,7,54.3%,6.4,89,0,-,-,-,-,11,1217,7,10,52.8%,,4.85,1.63,33.5,115.0,7.47,4.35,9.50,31.25,,"2022 GST, 2021 CONN",,FCS,,
,,101,Matt Struck,Southern Oregon,7th,"6'4""",220,4,702,5,3,64.4%,6.8,131,2,23,0,0,50.0%,7,1443,12,5,50.9%,,,,,,,,,,,"2020 MZST, 2019 IDA, 2018 JUCO","TROP, FCS",NAIA,,
,,102,Jonathan Murphy,Kennesaw State,6th,"6'0""",190,8,1190,8,3,53.8%,7.5,401,6,375,1,0,51.9%,7,265,3,1,46.2%,,,,,,,,,,,2018 JUCO,,FCS,,
,,103,Jeff Undercuffler,Akron,6th,"6'5""",232,10,1378,4,9,61.6%,6.2,0,7,791,5,5,58.3%,10,1781,8,7,55.1%,,,,24.0,94.0,,,9.12,31.38,,2021 ALB,,FBS,,
,,104,Matt O'Connor,Stetson,5th,"6'2""",205,10,1357,6,7,54.5%,7.3,40,11,0,0,0,0.0%,1,17,0,0,100.0%,,,,,,,,,,,2022 VILL,,FCS,,
,,105,Trazon Connley,Prairie View A&M,6th,"6'2""",195,12,2063,9,10,55.1%,8.5,187,10,1462,11,6,58.7%,5,55,0,1,30.0%,,,,,,,,,,,,,FCS,,
,,106,Tristan Gebbia,Ohio State,7th,"6'2""",210,0,-,-,-,-,-,-,4,79,0,0,90.9%,0,-,-,-,-,,,,,,,,,,,"2022 ORST, 2017 NEB",,FBS,,
,,107,Kason Martin,Tiffin,6th,"6'4""",220,9,1671,16,4,64.1%,8.0,33,10,1825,14,10,54.2%,0,-,-,-,-,,,,,,,,,,,"2022 D2, 2021 NT",,D2,,
,,108,Quincy Patterson,Temple,6th,"6'3""",242,10,184,0,3,41.7%,3.8,132,6,64,0,0,54.5%,14,813,4,6,54.5%,,4.89,1.57,29.5,114.0,7.45,4.55,9.50,33.75,,"2021 NDSU, 2020 VT",,FBS,,
,,109,Corey Fields Jr.,South Carolina State,6th,"6'0""",190,10,1265,13,9,52.5%,7.1,263,7,909,9,7,47.7%,10,2032,16,12,50.0%,,,,,,,,,,,,,FCS,,
,,110,Jason Whittaker,Davenport,6th,"6'5""",225,9,1812,14,8,55.6%,7.2,115,11,2309,26,11,53.5%,0,-,-,-,-,,,,,,,,,,,2019 NW,,D2,,
,,111,Ben Maracle,Ottawa (CN),6th,"6'3""",201,1,33,1,0,100.0%,8.3,7,7,1411,9,2,59.4%,6,1244,3,7,55.8%,,,,,,,,,,,,,CAN,,
,,112,Deveon Bryant,Tennessee State,6th,"6'3""",246,10,631,2,3,53.9%,5.5,317,5,19,1,0,50.0%,9,256,0,1,47.6%,,4.91,1.64,27.0,107.0,7.44,4.57,10.12,32.75,,,,FCS,,
,,113,Jaiave Magalei,East Central,7th,"6'3""",235,9,1211,11,6,54.6%,6.5,46,2,160,0,1,56.8%,11,696,9,4,57.9%,,,,,,,,,,,"2022 AMCO, 2020 ULL, 2017 JUCO",,D2,,
,,114,Mike Hohensee,NW Missouri State,6th,"6'2""",195,9,1974,22,10,62.2%,8.3,0,12,2174,16,8,68.3%,11,2173,20,10,73.6%,,,,,,,,,,,,,D2,,
,,115,Dominique Shoffner,Charlotte,6th,"6'1""",200,3,37,0,1,44.4%,4.1,30,8,626,7,6,42.9%,0,-,-,-,-,,,,,,,,,,,"2022 EIU, 2021 CHA, 2019 JUCO, 2018 NCC",FCS,FBS,,
,,116,Stephon Brown,Central Oklahoma,6th,"6'5""",220,8,926,2,5,64.8%,7.2,261,11,1784,12,6,65.3%,9,538,1,3,57.4%,,,,,,,,,,,"2020 TCU, 2019 JUCO",,D2,,
,,117,Taye Gatewood,Arkansas Tech,5th,"6'0""",220,11,2015,13,8,65.5%,6.9,115,8,533,5,5,52.3%,6,98,2,0,70.6%,,,,,,,,,,,2021 D2,,D2,,
,,118,Mylik Mitchell,Ferris State,8th,"6'4""",210,11,1385,9,4,60.0%,8.7,125,10,1512,6,3,62.3%,14,1321,12,2,64.6%,,,,,,,,,,,2017 TOL,,D2,,
,,119,Braden Wingle,Fort Lewis,5th,"6'5""",221,11,2276,11,6,60.2%,6.6,0,10,1448,6,13,58.8%,0,-,-,-,-,,4.90,1.82,32.5,123.0,7.70,4.65,9.25,33.88,,"2021 JUCO, 2020 FRES, 2019 JUCO",,D2,,
,,120,Micah Leon,Florida,7th,"6'5""",221,1,16,0,0,66.7%,5.3,0,0,-,-,-,-,1,62,0,0,76.9%,,,,,,,,10.00,32.00,,"2021 CONN, 2018 NCST",,FBS,,
,,121,Caden Bell,Columbia,5th,"6'0""",205,7,594,2,2,42.1%,4.5,112,9,1198,10,4,59.7%,1,0,0,0,0.0%,,,,,,,,,,,,,FCS,,
,,122,Bryce Fields,SE Oklahoma State,7th,"6'2""",205,6,1007,7,4,49.4%,6.5,171,1,103,0,2,50.0%,7,356,4,2,54.5%,,,,,,,,,,,,,D2,,
,,123,Tai Lavatai,Navy,4th,"6'2""",220,8,701,5,2,55.4%,6.9,245,8,785,5,3,46.2%,10,449,5,2,55.7%,,,,,,,,,,,,,FBS,,
,,124,Marcus Reeb,Minnesota-Morris,4th,"6'0""",200,11,1536,7,5,57.1%,6.6,192,8,1278,10,6,60.4%,10,1919,18,3,55.9%,,,,,,,,,,,,FCS,D3,,
,,125,Jack Zergiotis,Merrimack,5th,"6'1""",216,0,-,-,-,-,-,-,5,667,7,1,49.1%,3,325,3,5,44.2%,,,,25.5,103.0,7.33,4.69,,,,2021 CONN,FCS,FCS,,
,,126,Xavier Holliday,Warner,5th,"6'1""",225,9,1027,7,4,46.8%,6.0,54,0,-,-,-,-,0,-,-,-,-,,,,,,,,,,,2019 D2,FCS,NAIA,,
,,127,Jarvis Davis,Southern Nazarene,6th,"5'11""",190,7,184,2,0,57.7%,7.1,52,8,80,1,1,38.1%,11,1216,6,7,50.2%,,,,,,,,,,,,,D2,,
,,128,Keegan Mccormack-Reamer,Virginia-Lynchburg,6th,"6'3""",200,0,-,-,-,-,-,-,0,-,-,-,-,0,-,-,-,-,,,,,,,,,,,"2022 NAIA, 2020 NAIA",FCS,NCCAA,,
Medically Retired,,X,JT Daniels,Rice,6th,"6'3""",210,9,2443,21,7,63.1%,8.5,0,10,2107,13,9,61.2%,5,722,7,3,72.3%,,,,,,,,,,,"2022 WVU, 2021 UGA, 2019 USC",,FBS,"2023 Senior Bowl Watchlist, 2023 East-West 1000, 2022 SBW, 2022 EW1000",
